UserID,Full_Name,Gender,Race,Age,Age_Group,Age_Category,Email,Social_Media_Handle,Province,Channel2,RecordDate2,Duration2,Hours,Minutes,Seconds,Record_Date,Record_Time,Month_Name,DayOfWeek,Day_Type,Time_Category,Activity_Status
803575,Donald Mina,male,indian_asian,27,Young Adult,25–34,Donald222@gmailcom,@Donald22,Eastern Cape,Supersport Live Events,2016/02/19 09:08,2025-09-15 00:00:22,0,0,22,2016-02-19,2025-09-21 09:08:00,February,Friday,Weekday,Morning,Active
803575,Donald Mina,male,indian_asian,27,Young Adult,25–34,Donald222@gmailcom,@Donald22,Eastern Cape,Supersport Live Events,2016/01/31 09:46,2025-09-15 00:27:16,0,27,16,2016-01-31,2025-09-21 09:46:00,January,Sunday,Weekend,Morning,Active
803575,Donald Mina,male,indian_asian,27,Young Adult,25–34,Donald222@gmailcom,@Donald22,Eastern Cape,Supersport Live Events,2016/01/23 10:34,2025-09-15 00:39:16,0,39,16,2016-01-23,2025-09-21 10:34:00,January,Saturday,Weekend,Morning,Active
2090538,Stephen Jacox,male,indian_asian,39,Adult,35–44,Stephen153@mailcom,@Stephen15,Gauteng,ICC Cricket World Cup 2011,2016/03/30 14:58,2025-09-15 00:29:56,0,29,56,2016-03-30,2025-09-21 14:58:00,March,Wednesday,Weekday,Afternoon,Active
779471,Stefan Biggers,male,black,28,Young Adult,25–34,Stefan464@abcmailcom,@Stefan46,Eastern Cape,Boomerang,2016/02/10 06:38,2025-09-15 00:11:09,0,11,9,2016-02-10,2025-09-21 06:38:00,February,Wednesday,Weekday,Morning,Active
788744,Abel Jacox,male,coloured,23,Young Adult,18–24,Abel183@mailcom,@Abel18,Western Cape,SuperSport Blitz,2016/01/14 23:09,2025-09-15 00:02:30,0,2,30,2016-01-14,2025-09-21 23:09:00,January,Thursday,Weekday,Night,Active
788744,Abel Jacox,male,coloured,23,Young Adult,18–24,Abel183@mailcom,@Abel18,Western Cape,Supersport Live Events,2016/01/18 09:35,2025-09-15 00:00:52,0,0,52,2016-01-18,2025-09-21 09:35:00,January,Monday,Weekday,Morning,Active
2285664,Dee Crotty,male,indian_asian,28,Young Adult,25–34,Dee212@gmailcom,@Dee21,Mpumalanga,SuperSport Blitz,2016/03/25 07:26,2025-09-15 00:00:00,0,0,0,2016-03-25,2025-09-21 07:26:00,March,Friday,Weekday,Morning,Active
2285664,Dee Crotty,male,indian_asian,28,Young Adult,25–34,Dee212@gmailcom,@Dee21,Mpumalanga,ICC Cricket World Cup 2011,2016/03/26 10:02,2025-09-15 01:06:24,1,6,24,2016-03-26,2025-09-21 10:02:00,March,Saturday,Weekend,Morning,Active
720398,Emilie Deblois,female,coloured,28,Young Adult,25–34,Emilie504@abcmailcom,@Emilie50,Gauteng,DStv Events 1,2016/01/20 17:22,2025-09-15 00:01:05,0,1,5,2016-01-20,2025-09-21 17:22:00,January,Wednesday,Weekday,Evening,Active
930094,Cody Styer,male,other,26,Young Adult,25–34,Cody123@mailcom,@Cody12,Free State,ICC Cricket World Cup 2011,2016/03/29 10:17,2025-09-15 00:01:24,0,1,24,2016-03-29,2025-09-21 10:17:00,March,Tuesday,Weekday,Morning,Active
930094,Cody Styer,male,other,26,Young Adult,25–34,Cody123@mailcom,@Cody12,Free State,Trace TV,2016/03/29 15:32,2025-09-15 00:01:00,0,1,0,2016-03-29,2025-09-21 15:32:00,March,Tuesday,Weekday,Afternoon,Active
789241,Carter Crotty,male,coloured,25,Young Adult,25–34,Carter34@abcmailcom,@Carter3,Northern Cape,Boomerang,2016/02/13 08:22,2025-09-15 00:01:58,0,1,58,2016-02-13,2025-09-21 08:22:00,February,Saturday,Weekend,Morning,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,Supersport Live Events,2016/01/31 09:08,2025-09-15 00:18:14,0,18,14,2016-01-31,2025-09-21 09:08:00,January,Sunday,Weekend,Morning,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,CNN,2016/01/29 16:32,2025-09-15 00:00:58,0,0,58,2016-01-29,2025-09-21 16:32:00,January,Friday,Weekday,Afternoon,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,SuperSport Blitz,2016/01/28 13:00,2025-09-15 00:17:14,0,17,14,2016-01-28,2025-09-21 13:00:00,January,Thursday,Weekday,Afternoon,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,Supersport Live Events,2016/02/01 08:12,2025-09-15 04:49:00,4,49,0,2016-02-01,2025-09-21 08:12:00,February,Monday,Weekday,Morning,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,Supersport Live Events,2016/01/27 14:14,2025-09-15 00:01:18,0,1,18,2016-01-27,2025-09-21 14:14:00,January,Wednesday,Weekday,Afternoon,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,SuperSport Blitz,2016/01/27 05:55,2025-09-15 00:02:26,0,2,26,2016-01-27,2025-09-21 05:55:00,January,Wednesday,Weekday,Morning,Active
771927,Lillie Langenfeld,female,None,36,Adult,35–44,Lillie431@yahoocom,@Lillie43,Western Cape,Cartoon Network,2016/01/30 16:39,2025-09-15 00:01:38,0,1,38,2016-01-30,2025-09-21 16:39:00,January,Saturday,Weekend,Afternoon,Active
904340,Wilton Mosser,male,indian_asian,28,Young Adult,25–34,Wilton412@gmailcom,@Wilton41,Gauteng,E! Entertainment,2016/03/27 17:38,2025-09-15 00:00:42,0,0,42,2016-03-27,2025-09-21 17:38:00,March,Sunday,Weekend,Evening,Active
904340,Wilton Mosser,male,indian_asian,28,Young Adult,25–34,Wilton412@gmailcom,@Wilton41,Gauteng,Vuzu,2016/03/27 17:45,2025-09-15 00:00:23,0,0,23,2016-03-27,2025-09-21 17:45:00,March,Sunday,Weekend,Evening,Active
904340,Wilton Mosser,male,indian_asian,28,Young Adult,25–34,Wilton412@gmailcom,@Wilton41,Gauteng,E! Entertainment,2016/03/26 21:29,2025-09-15 00:00:00,0,0,0,2016-03-26,2025-09-21 21:29:00,March,Saturday,Weekend,Night,Active
809079,Filiberto Lavoie,male,black,30,Young Adult,25–34,Filiberto43@mailcom,@Filiberto4,Mpumalanga,Cartoon Network,2016/02/22 19:08,2025-09-15 00:00:08,0,0,8,2016-02-22,2025-09-21 19:08:00,February,Monday,Weekday,Evening,Active
809079,Filiberto Lavoie,male,black,30,Young Adult,25–34,Filiberto43@mailcom,@Filiberto4,Mpumalanga,Africa Magic,2016/02/21 13:27,2025-09-15 00:00:17,0,0,17,2016-02-21,2025-09-21 13:27:00,February,Sunday,Weekend,Afternoon,Active
809079,Filiberto Lavoie,male,black,30,Young Adult,25–34,Filiberto43@mailcom,@Filiberto4,Mpumalanga,Boomerang,2016/02/21 17:15,2025-09-15 00:00:18,0,0,18,2016-02-21,2025-09-21 17:15:00,February,Sunday,Weekend,Evening,Active
809079,Filiberto Lavoie,male,black,30,Young Adult,25–34,Filiberto43@mailcom,@Filiberto4,Mpumalanga,SuperSport Blitz,2016/02/21 17:22,2025-09-15 00:00:42,0,0,42,2016-02-21,2025-09-21 17:22:00,February,Sunday,Weekend,Evening,Active
819358,Valentine Borelli,male,white,39,Adult,35–44,Valentine472@gmailcom,@Valentine47,Western Cape,Trace TV,2016/02/26 20:38,2025-09-15 00:00:45,0,0,45,2016-02-26,2025-09-21 20:38:00,February,Friday,Weekday,Evening,Active
819358,Valentine Borelli,male,white,39,Adult,35–44,Valentine472@gmailcom,@Valentine47,Western Cape,ICC Cricket World Cup 2011,2016/03/02 11:59,2025-09-15 00:05:12,0,5,12,2016-03-02,2025-09-21 11:59:00,March,Wednesday,Weekday,Morning,Active
819358,Valentine Borelli,male,white,39,Adult,35–44,Valentine472@gmailcom,@Valentine47,Western Cape,Supersport Live Events,2016/03/19 16:24,2025-09-15 00:03:20,0,3,20,2016-03-19,2025-09-21 16:24:00,March,Saturday,Weekend,Afternoon,Active
242356,Stacy Singer,male,white,30,Young Adult,25–34,Stacy273@mailcom,@Stacy27,Gauteng,ICC Cricket World Cup 2011,2016/03/01 09:03,2025-09-15 00:00:00,0,0,0,2016-03-01,2025-09-21 09:03:00,March,Tuesday,Weekday,Morning,Active
830921,Shane Mcculloch,male,white,22,Young Adult,18–24,Shane24@abcmailcom,@Shane2,Eastern Cape,Trace TV,2016/03/03 19:24,2025-09-15 00:01:15,0,1,15,2016-03-03,2025-09-21 19:24:00,March,Thursday,Weekday,Evening,Active
866295,Randy Hoadley,male,None,43,Adult,35–44,Randy391@yahoocom,@Randy39,Gauteng,ICC Cricket World Cup 2011,2016/03/15 11:01,2025-09-15 00:46:48,0,46,48,2016-03-15,2025-09-21 11:01:00,March,Tuesday,Weekday,Morning,Active
173765,None None,None,None,0,Child,Under 18,Tiffani292@gmailcom,None,None,Trace TV,2016/01/08 07:29,2025-09-15 00:01:03,0,1,3,2016-01-08,2025-09-21 07:29:00,January,Friday,Weekday,Morning,Active
764468,Earl Pool,male,black,34,Young Adult,25–34,Earl421@yahoocom,@Earl42,Gauteng,Channel O,2016/02/02 06:59,2025-09-15 00:02:09,0,2,9,2016-02-02,2025-09-21 06:59:00,February,Tuesday,Weekday,Morning,Active
724179,Desirae Luthy,female,black,21,Young Adult,18–24,Desirae292@gmailcom,@Desirae29,Gauteng,Channel O,2016/01/20 18:49,2025-09-15 00:10:51,0,10,51,2016-01-20,2025-09-21 18:49:00,January,Wednesday,Weekday,Evening,Active
865440,Hollis Mcculloch,male,indian_asian,31,Young Adult,25–34,Hollis384@abcmailcom,@Hollis38,Gauteng,Supersport Live Events,2016/03/14 08:35,2025-09-15 00:21:28,0,21,28,2016-03-14,2025-09-21 08:35:00,March,Monday,Weekday,Morning,Active
865440,Hollis Mcculloch,male,indian_asian,31,Young Adult,25–34,Hollis384@abcmailcom,@Hollis38,Gauteng,ICC Cricket World Cup 2011,2016/03/14 10:28,2025-09-15 00:06:10,0,6,10,2016-03-14,2025-09-21 10:28:00,March,Monday,Weekday,Morning,Active
892643,Valentine Borelli,male,coloured,28,Young Adult,25–34,Valentine471@yahoocom,@Valentine47,Western Cape,Cartoon Network,2016/03/13 10:16,2025-09-15 00:21:24,0,21,24,2016-03-13,2025-09-21 10:16:00,March,Sunday,Weekend,Morning,Active
892643,Valentine Borelli,male,coloured,28,Young Adult,25–34,Valentine471@yahoocom,@Valentine47,Western Cape,SuperSport Blitz,2016/03/13 12:10,2025-09-15 00:00:08,0,0,8,2016-03-13,2025-09-21 12:10:00,March,Sunday,Weekend,Afternoon,Active
892643,Valentine Borelli,male,coloured,28,Young Adult,25–34,Valentine471@yahoocom,@Valentine47,Western Cape,Boomerang,2016/01/02 00:24,2025-09-15 03:32:21,3,32,21,2016-01-02,2025-09-21 00:24:00,January,Saturday,Weekend,Night,Active
892643,Valentine Borelli,male,coloured,28,Young Adult,25–34,Valentine471@yahoocom,@Valentine47,Western Cape,Cartoon Network,2016/01/04 04:42,2025-09-15 00:02:42,0,2,42,2016-01-04,2025-09-21 04:42:00,January,Monday,Weekday,Night,Active
892643,Valentine Borelli,male,coloured,28,Young Adult,25–34,Valentine471@yahoocom,@Valentine47,Western Cape,Cartoon Network,2016/01/19 19:40,2025-09-15 00:04:12,0,4,12,2016-01-19,2025-09-21 19:40:00,January,Tuesday,Weekday,Evening,Active
771978,Efren Wigfall,male,black,23,Young Adult,18–24,Efren131@yahoocom,@Efren13,Kwazulu Natal,Boomerang,2016/02/05 03:06,2025-09-15 00:00:31,0,0,31,2016-02-05,2025-09-21 03:06:00,February,Friday,Weekday,Night,Active
820573,Garry Mina,male,white,32,Young Adult,25–34,Garry281@yahoocom,@Garry28,Gauteng,Boomerang,2016/02/26 17:06,2025-09-15 00:00:20,0,0,20,2016-02-26,2025-09-21 17:06:00,February,Friday,Weekday,Evening,Active
820573,Garry Mina,male,white,32,Young Adult,25–34,Garry281@yahoocom,@Garry28,Gauteng,ICC Cricket World Cup 2011,2016/03/02 10:04,2025-09-15 00:55:08,0,55,8,2016-03-02,2025-09-21 10:04:00,March,Wednesday,Weekday,Morning,Active
820573,Garry Mina,male,white,32,Young Adult,25–34,Garry281@yahoocom,@Garry28,Gauteng,SawSee,2016/02/28 19:16,2025-09-15 00:00:57,0,0,57,2016-02-28,2025-09-21 19:16:00,February,Sunday,Weekend,Evening,Active
2420497,Kyle Beville,male,coloured,22,Young Adult,18–24,Kyle61@yahoocom,@Kyle6,Western Cape,Trace TV,2016/01/10 19:58,2025-09-15 00:47:54,0,47,54,2016-01-10,2025-09-21 19:58:00,January,Sunday,Weekend,Evening,Active
82389,None None,None,None,0,Child,Under 18,Sharri332@gmailcom,None,None,DStv Events 1,2016/01/08 11:33,2025-09-15 00:09:30,0,9,30,2016-01-08,2025-09-21 11:33:00,January,Friday,Weekday,Morning,Active
809148,Efren Sytsma,male,indian_asian,35,Adult,35–44,Efren132@gmailcom,@Efren13,Limpopo,ICC Cricket World Cup 2011,2016/03/13 13:17,2025-09-15 00:09:58,0,9,58,2016-03-13,2025-09-21 13:17:00,March,Sunday,Weekend,Afternoon,Active
809148,Efren Sytsma,male,indian_asian,35,Adult,35–44,Efren132@gmailcom,@Efren13,Limpopo,Trace TV,2016/02/20 22:40,2025-09-15 00:04:45,0,4,45,2016-02-20,2025-09-21 22:40:00,February,Saturday,Weekend,Night,Active
809148,Efren Sytsma,male,indian_asian,35,Adult,35–44,Efren132@gmailcom,@Efren13,Limpopo,ICC Cricket World Cup 2011,2016/02/27 10:40,2025-09-15 00:43:22,0,43,22,2016-02-27,2025-09-21 10:40:00,February,Saturday,Weekend,Morning,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,E! Entertainment,2016/03/31 21:47,2025-09-15 00:00:58,0,0,58,2016-03-31,2025-09-21 21:47:00,March,Thursday,Weekday,Night,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,Supersport Live Events,2016/03/30 05:51,2025-09-15 00:01:16,0,1,16,2016-03-30,2025-09-21 05:51:00,March,Wednesday,Weekday,Morning,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,ICC Cricket World Cup 2011,2016/03/30 05:51,2025-09-15 00:00:22,0,0,22,2016-03-30,2025-09-21 05:51:00,March,Wednesday,Weekday,Morning,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,SuperSport Blitz,2016/03/30 16:17,2025-09-15 00:02:20,0,2,20,2016-03-30,2025-09-21 16:17:00,March,Wednesday,Weekday,Afternoon,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,Boomerang,2016/03/30 10:30,2025-09-15 00:00:25,0,0,25,2016-03-30,2025-09-21 10:30:00,March,Wednesday,Weekday,Morning,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,Cartoon Network,2016/03/25 16:26,2025-09-15 00:00:11,0,0,11,2016-03-25,2025-09-21 16:26:00,March,Friday,Weekday,Afternoon,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,DStv Events 1,2016/03/25 13:51,2025-09-15 00:00:30,0,0,30,2016-03-25,2025-09-21 13:51:00,March,Friday,Weekday,Afternoon,Active
2429528,Randy Sieren,male,None,30,Young Adult,25–34,Randy394@abcmailcom,@Randy39,Gauteng,Trace TV,2016/03/29 05:06,2025-09-15 00:00:39,0,0,39,2016-03-29,2025-09-21 05:06:00,March,Tuesday,Weekday,Morning,Active
45769,None None,None,None,0,Child,Under 18,Emilie443@mailcom,None,None,ICC Cricket World Cup 2011,2016/03/12 11:28,2025-09-15 00:01:44,0,1,44,2016-03-12,2025-09-21 11:28:00,March,Saturday,Weekend,Morning,Active
924896,Haywood Zweifel,male,indian_asian,25,Young Adult,25–34,Haywood91@yahoocom,@Haywood9,Gauteng,ICC Cricket World Cup 2011,2016/03/30 10:23,2025-09-15 01:01:38,1,1,38,2016-03-30,2025-09-21 10:23:00,March,Wednesday,Weekday,Morning,Active
894417,None None,None,None,0,Child,Under 18,Seema343@mailcom,None,None,Trace TV,2016/03/28 10:23,2025-09-15 00:00:00,0,0,0,2016-03-28,2025-09-21 10:23:00,March,Monday,Weekday,Morning,Active
894417,None None,None,None,0,Child,Under 18,Seema343@mailcom,None,None,E! Entertainment,2016/03/24 05:48,2025-09-15 00:01:02,0,1,2,2016-03-24,2025-09-21 05:48:00,March,Thursday,Weekday,Morning,Active
772052,Stephen Beville,male,coloured,32,Young Adult,25–34,Stephen151@yahoocom,@Stephen15,Western Cape,Supersport Live Events,2016/03/20 16:26,2025-09-15 00:00:00,0,0,0,2016-03-20,2025-09-21 16:26:00,March,Sunday,Weekend,Afternoon,Active
772052,Stephen Beville,male,coloured,32,Young Adult,25–34,Stephen151@yahoocom,@Stephen15,Western Cape,Supersport Live Events,2016/03/26 14:38,2025-09-15 00:45:32,0,45,32,2016-03-26,2025-09-21 14:38:00,March,Saturday,Weekend,Afternoon,Active
898831,Samuel Langenfeld,male,white,26,Young Adult,25–34,Samuel262@gmailcom,@Samuel26,Gauteng,ICC Cricket World Cup 2011,2016/03/23 10:07,2025-09-15 00:00:00,0,0,0,2016-03-23,2025-09-21 10:07:00,March,Wednesday,Weekday,Morning,Active
788922,Cory Fudge,male,coloured,52,Adult,45–54,Cory101@yahoocom,@Cory10,Western Cape,ICC Cricket World Cup 2011,2016/03/05 16:03,2025-09-15 00:00:52,0,0,52,2016-03-05,2025-09-21 16:03:00,March,Saturday,Weekend,Afternoon,Active
788922,Cory Fudge,male,coloured,52,Adult,45–54,Cory101@yahoocom,@Cory10,Western Cape,ICC Cricket World Cup 2011,2016/02/27 16:06,2025-09-15 00:01:52,0,1,52,2016-02-27,2025-09-21 16:06:00,February,Saturday,Weekend,Afternoon,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/02/22 13:13,2025-09-15 00:03:44,0,3,44,2016-02-22,2025-09-21 13:13:00,February,Monday,Weekday,Afternoon,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/02/26 10:51,2025-09-15 00:01:16,0,1,16,2016-02-26,2025-09-21 10:51:00,February,Friday,Weekday,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/03/22 11:10,2025-09-15 00:01:45,0,1,45,2016-03-22,2025-09-21 11:10:00,March,Tuesday,Weekday,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,SuperSport Blitz,2016/02/14 15:31,2025-09-15 00:02:06,0,2,6,2016-02-14,2025-09-21 15:31:00,February,Sunday,Weekend,Afternoon,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/03/24 15:44,2025-09-15 00:03:45,0,3,45,2016-03-24,2025-09-21 15:44:00,March,Thursday,Weekday,Afternoon,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/02/16 06:48,2025-09-15 00:12:28,0,12,28,2016-02-16,2025-09-21 06:48:00,February,Tuesday,Weekday,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,Cartoon Network,2016/02/04 11:18,2025-09-15 00:00:48,0,0,48,2016-02-04,2025-09-21 11:18:00,February,Thursday,Weekday,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,Channel O,2016/02/10 13:22,2025-09-15 00:07:57,0,7,57,2016-02-10,2025-09-21 13:22:00,February,Wednesday,Weekday,Afternoon,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/03/23 08:45,2025-09-15 00:03:28,0,3,28,2016-03-23,2025-09-21 08:45:00,March,Wednesday,Weekday,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,Supersport Live Events,2016/03/05 20:37,2025-09-15 00:02:50,0,2,50,2016-03-05,2025-09-21 20:37:00,March,Saturday,Weekend,Evening,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/02/06 12:22,2025-09-15 00:02:56,0,2,56,2016-02-06,2025-09-21 12:22:00,February,Saturday,Weekend,Afternoon,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,ICC Cricket World Cup 2011,2016/03/20 08:44,2025-09-15 00:05:56,0,5,56,2016-03-20,2025-09-21 08:44:00,March,Sunday,Weekend,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,SuperSport Blitz,2016/02/27 09:10,2025-09-15 00:07:06,0,7,6,2016-02-27,2025-09-21 09:10:00,February,Saturday,Weekend,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,Trace TV,2016/02/23 04:58,2025-09-15 00:05:15,0,5,15,2016-02-23,2025-09-21 04:58:00,February,Tuesday,Weekday,Night,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,CNN,2016/02/23 05:31,2025-09-15 00:17:22,0,17,22,2016-02-23,2025-09-21 05:31:00,February,Tuesday,Weekday,Morning,Active
809231,Kip Leicht,male,black,45,Adult,45–54,Kip145@mailxyzcom,@Kip14,Gauteng,E! Entertainment,2016/03/30 15:57,2025-09-15 00:00:26,0,0,26,2016-03-30,2025-09-21 15:57:00,March,Wednesday,Weekday,Afternoon,Active
2203633,Stephen Mastrangelo,male,white,70,Senior,65+,Stephen155@mailxyzcom,@Stephen15,Eastern Cape,E! Entertainment,2016/02/16 16:29,2025-09-15 00:01:26,0,1,26,2016-02-16,2025-09-21 16:29:00,February,Tuesday,Weekday,Afternoon,Active
790685,Brendan Sytsma,male,black,29,Young Adult,25–34,Brendan454@abcmailcom,@Brendan45,Kwazulu Natal,Africa Magic,2016/02/14 07:36,2025-09-15 00:00:02,0,0,2,2016-02-14,2025-09-21 07:36:00,February,Sunday,Weekend,Morning,Active
